Row.names	RH_CT_Int_Ctrl1	RH_CT_Int_Ctrl2	RH_CT_Int_Ctrl3	RH_CT_Int_Ctrl4	RH_CT_Int_BM1	RH_CT_Int_BM2	RH_CT_Int_BM3	RH_CT_Int_BM4	logFC	logCPM	LR	PValue	FDR	rownames(sub_RH)	phylum	class	order	family	genus	species	its2_tax_heat	Int_Ctrl	Int_Ctrl.std	Int_BM	Int_BM.std
1	SH0881631.09FU_Dichotomopilus	0.00145222189950624	0.0396566614378624	0.00496721637194516	0.0115634627615201	0	0	0.000757730747956021	0	-5.8421555773786	6.52884224279171	12.2415449996318	0.000467371137525644	0.00550648176575668	SH0881631.09FU_Dichotomopilus	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Dichotomopilus	s__Dichotomopilus_erectus	SH0881631.09FU_Dichotomopilus	0.0144098906177085	0.017345190148935	0.000189432686989005	0.000378865373978011
2	SH0881877.09FU_Chaetomiaceae_gen_Incertae_sedis	0	0	0.00596065964633419	0	0.0434073916586939	0.0360769406754307	0.0545566138528335	0.0526891744011673	4.48618458029979	7.77119043898398	15.2829008360364	9.25505108846665e-05	0.00131743657439175	SH0881877.09FU_Chaetomiaceae_gen_Incertae_sedis	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomiaceae_gen_Incertae_sedis	s__Chaetomiaceae_sp	SH0881877.09FU_Chaetomiaceae_gen_Incertae_sedis	0.00149016491158355	0.0029803298231671	0.0466825301470314	0.00858848123088204
3	SH0882333.09FU_Sporobolomyces	0.159744408945687	0.491742601829494	0.375521557719054	0.191623097190905	0.131108040111973	0.104711120496982	0.0522834216089655	0.160499331252786	-1.9526730865311	11.1490842909783	10.3569629053985	0.00128987237891937	0.0112950986694561	SH0882333.09FU_Sporobolomyces	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	s__Sporobolomyces_roseus	SH0882333.09FU_Sporobolomyces	0.304657916421285	0.156842947115464	0.112150478367677	0.0459579853528337
4	SH0885285.09FU_Hirsutella	0	0	0.000993443274389032	0.00412980812911432	0.0513801778817193	0.0202382837935343	0.0166700764550325	0.013780245612613	3.81984433835623	6.98787446770254	8.74734533411051	0.00310053078069536	0.0206476074429838	SH0885285.09FU_Hirsutella	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Hirsutella	s__Hirsutella_rhossiliensis	SH0885285.09FU_Hirsutella	0.00128081285087584	0.00195621390163523	0.0255171959357248	0.0174431292542044
5	SH0889770.09FU_Rhizophydiales_gen_Incertae_sedis	0.00580888759802498	0	0.0109278760182794	0.00578173138076005	0	0	0	0	-6.18678143017241	5.68728367442436	9.23347838518227	0.00237629792096694	0.016956367620284	SH0889770.09FU_Rhizophydiales_gen_Incertae_sedis	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Rhizophydiales_fam_Incertae_sedis	Rhizophydiales_gen_Incertae_sedis	s__Rhizophydiales_sp	SH0889770.09FU_Rhizophydiales_gen_Incertae_sedis	0.0056296237492661	0.00446540080035509	0	0
6	SH0892274.09FU_Glomus	0	0.000881259143063609	0.000993443274389032	0.000825961625822864	0.046064987066369	0.0131988807349137	0.0128814227152524	0.0518785717180724	4.90989246471699	7.20398282149974	15.9430873500406	6.52757222054614e-05	0.000983689953235791	SH0892274.09FU_Glomus	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	s__Glomus_sp	SH0892274.09FU_Glomus	0.000675166010818876	0.000455471643952236	0.0310059655586519	0.0208808615711309
7	SH0892287.09FU_Glomus	0	0	0	0	0.00442932567945856	0.00263977614698274	0.00454638448773613	0.0380983261054594	6.67790097218016	6.11506822646783	11.050563687298	0.000886602382845274	0.00844879917770203	SH0892287.09FU_Glomus	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	s__Glomus_sp	SH0892287.09FU_Glomus	0	0	0.0124284531049092	0.017135476082341
8	SH0902763.09FU_Orbiliaceae_gen_Incertae_sedis	0	0	0	0	0.000885865135891712	0.000879925382327579	0.034097883658021	0.00810602683094881	6.484877816147	5.97501656427163	8.99428642680227	0.00270825003721309	0.0184731160433062	SH0902763.09FU_Orbiliaceae_gen_Incertae_sedis	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Orbiliaceae_gen_Incertae_sedis	s__Orbiliaceae_sp	SH0902763.09FU_Orbiliaceae_gen_Incertae_sedis	0	0	0.0109924252517973	0.0157754948680123
9	SH0903505.09FU_Betamyces	0.0588149869300029	0.0502317711546257	0.0178819789390026	0.0412980812911432	0.0115162467665923	0.0131988807349137	0.0174278072029885	0	-2.71596348780809	8.4364153285226	7.57822270629655	0.00590776609034541	0.0354465965420725	SH0903505.09FU_Betamyces	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Alphamycetaceae	Betamyces	s__Betamyces_sp	SH0903505.09FU_Betamyces	0.0420567045786936	0.0176320220993309	0.0105357336761236	0.00745108761124261
10	SH0905493.09FU_Glarea	0.00435666569851873	0	0.00894098946950129	0.00908557788405151	0.195776195032068	0.000879925382327579	0.0553143446007896	0.0721436387954444	3.20707222514936	8.53959697446112	7.48438045345893	0.00622364791483118	0.0361773513036197	SH0905493.09FU_Glarea	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Glarea	s__Glarea_sp	SH0905493.09FU_Glarea	0.00559580826301788	0.00432886720069318	0.0810285259526575	0.0823225082119777
11	SH0906010.09FU_Coniochaeta	0.0101655532965437	0.0176251828612722	0.00794754619511226	0.0140413476389887	0.0620105595124198	0.0378367914400859	0.0765308055435582	0.121590402464232	2.00238282568306	8.64603158817004	6.88239480806586	0.00870488514469017	0.0458598827134897	SH0906010.09FU_Coniochaeta	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	s__Coniochaeta_sp	SH0906010.09FU_Coniochaeta	0.0124449074979792	0.00427417002576692	0.074492139740074	0.0352221848360042
12	SH0906750.09FU_Sclerostagonospora	0.0108916642462968	0.0431816980101169	0.031790184780449	0.0346903882845603	1.5493781226746	2.21213241117153	0.957771665416411	0.982450451910996	5.12183298544002	12.5805364202861	72.4359454263435	1.72542388429348e-17	5.59037338511088e-15	SH0906750.09FU_Sclerostagonospora	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Sclerostagonospora	s__Sclerostagonospora_sp	SH0906750.09FU_Sclerostagonospora	0.0301384838303558	0.0137114726953888	1.42543316279339	0.591382284355414
13	SH0907050.09FU_Talaromyces	0.516990996224223	1.15180569998414	0.543413471090801	0.415458697788901	0.0558095035611778	0.121429702761206	0.0424329218855372	0.0154014509788027	-4.03513416004463	12.0758045230076	33.5718809559805	6.86784196698777e-09	5.56295199326009e-07	SH0907050.09FU_Talaromyces	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Talaromyces	s__Talaromyces_albobiverticillius	SH0907050.09FU_Talaromyces	0.656917216272015	0.334504247449849	0.0587683947966809	0.0450286354982482
