Taxa,coeff,p,padj,Treatment,Mean_Ctrl,Mean_BMc,Sd_Ctrl,Sd_BMc,Taxonomic_Level,N-Fertilization-Intensity
Dichotomopilus;OTU8,-57139.22,8.677787632934515e-4,0.0039773194968209845,Int,0.014409890617708481,1.8943268698900533e-4,0.017345190148935045,3.7886537397801065e-4,OTU,Int
Chaetomiaceae_gen_Incertae_sedis;OTU13,1559.88,8.677787588156732e-4,0.0039773194968209845,Int,0.0014901649115835486,0.046682530147031345,0.0029803298231670973,0.008588481230882038,OTU,Int
Sporobolomyces;OTU15,-167.4,0.0042741635151860805,0.018806319466818756,Int,0.3046579164212849,0.11215047836767678,0.15684294711546373,0.045957985352833686,OTU,Int
Hirsutella;OTU24,4825.44,8.677787588424087e-4,0.0039773194968209845,Int,0.0012808128508758384,0.02551719593572476,0.001956213901635228,0.017443129254204395,OTU,Int
Rhizophydiales_gen_Incertae_sedis;OTU68,-3604.52,0.013623172376626682,0.04541057498782116,Int,0.0056296237492660965,0,0.004465400800355087,0,OTU,Int
Rozellomycota_gen_Incertae_sedis;OTU72,9885.19,8.677787589500094e-4,0.0039773194968209845,Int,0.002835747080703819,0.02021678726317282,0.002445357822771247,0.011747603876512185,OTU,Int
Glomus;OTU74,4025.64,8.677787588239051e-4,0.0039773194968209845,Int,6.751660108188764e-4,0.03100596555865186,4.554716439522361e-4,0.020880861571130935,OTU,Int
Glomus;OTU75,17455.91,8.677787590686333e-4,0.0039773194968209845,Int,0,0.012428453104909207,0,0.017135476082340968,OTU,Int
Mortierella;OTU90,2024.26,0.0061442310749372,0.025600962812238334,Int,0.0013594065484304567,0.005581559154415628,0.0012314378090293033,0.0021551883254963666,OTU,Int
Mortierella;OTU91,160.19,0.00552936059743157,0.02375897131708878,Int,0.09180110431202958,0.3600864275432159,0.016179008735990517,0.20165919601679383,OTU,Int
Pyrenochaeta;OTU99,240.75,0.012715304390882717,0.04541057498782116,Int,0.003993588639845099,0.02634479706691467,0.006014367324600427,0.01494436994004208,OTU,Int
Pezizales_gen_Incertae_sedis;OTU102,1597.72,0.005862660843407812,0.024803565106725357,Int,0.0011469249789959571,0.006190311856828541,0.0012812068547095616,0.0025670588803920116,OTU,Int
Betamyces;OTU117,-82330.95,8.677787729153711e-4,0.0039773194968209845,Int,0.04205670457869361,0.010535733676123605,0.017632022099330864,0.0074510876112426115,OTU,Int
Betamyces;OTU120,9138.66,8.677787590005148e-4,0.0039773194968209845,Int,0.0025314697610929063,0.024451199068020353,0.0037538987697368132,0.012840069725261598,OTU,Int
Chytridiomycota_gen_Incertae_sedis;OTU121,-4534,8.677787588115857e-4,0.0039773194968209845,Int,0.05309213172672244,0.02646347205842888,0.006113853627613338,0.009483214341288257,OTU,Int
Lecythophora;OTU137,46876.04,8.677787615249615e-4,0.0039773194968209845,Int,0.003774191939273662,0.024494894305137783,0.003673392442850703,0.01418274962591953,OTU,Int
Coniochaeta;OTU142,2278.81,8.677787588841671e-4,0.0039773194968209845,Int,0.012444907497979212,0.074492139740074,0.004274170025766925,0.03522218483600419,OTU,Int
Sclerostagonospora;OTU148,52.09,8.677787588474758e-4,0.0039773194968209845,Int,0.030138483830355757,1.4254331627933858,0.013711472695388843,0.5913822843554141,OTU,Int
Talaromyces;OTU149,-154.35,8.677787589601989e-4,0.0039773194968209845,Int,0.6569172162720155,0.0587683947966809,0.3345042474498488,0.04502863549824817,OTU,Int
Hypocreales_gen_Incertae_sedis;OTU171,11301,8.677787605919154e-4,0.0039773194968209845,Int,0,0.047331142673285115,0,0.05417819042244191,OTU,Int
Onygenales_gen_Incertae_sedis;OTU177,12787.9,8.67778759330199e-4,0.0039773194968209845,Int,0,0.023137208948939218,0,0.03308410765692302,OTU,Int
Xylariales_gen_Incertae_sedis;OTU178,-9949.41,0.013623172432312997,0.04541057498782116,Int,0.00432018868378338,0,0.0055143820305049,0,OTU,Int
Sporormiella;OTU194,286.02,8.677787588820271e-4,0.0039773194968209845,Int,0.01349663602068169,0.5339076552958745,0.011503346907780626,0.3851278326394366,OTU,Int
Preussia;OTU195,-178.69,8.677787588808844e-4,0.0039773194968209845,Int,0.7255575049972143,0.24139465849243708,0.1474778552646577,0.039563457919790164,OTU,Int
