Taxa,coeff,p,padj,Treatment,Mean_Ctrl,Mean_BMc,Sd_Ctrl,Sd_BMc,Taxonomic_Level,N-Fertilization-Intensity
Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;RB41;ASV2846,6802.29,8.67778758863214e-4,0.012351104518122014,Intensive,0,0.012276224633057643,0,0.003624157240371563,ASV,Intensive
Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Unclassified_Vicinamibacteraceae;ASV2616,4446.13,8.677787589669281e-4,0.012351104518122014,Intensive,0,0.02331297495703681,0,0.009888244731549593,ASV,Intensive
Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Unclassified_Vicinamibacteraceae;ASV703,3618.23,8.677787588565488e-4,0.012351104518122014,Intensive,0.0267526446748841,0.06559409164745762,0.018089492603901983,0.010972170801306521,ASV,Intensive
Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Unclassified_Vicinamibacteraceae;ASV720,115463.56,8.677787801634358e-4,0.012351104518122014,Intensive,0.015203732956413052,0.04963520039018374,0.017580557754689523,0.01353372188783179,ASV,Intensive
Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Unclassified_Vicinamibacteraceae;ASV783,1566.03,8.677787588770206e-4,0.012351104518122014,Intensive,0.009028590630075661,0.0626567715195436,0.010482128190896129,0.016603498676063852,ASV,Intensive
Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Unclassified_Vicinamibacteraceae;ASV902,1214.06,8.677787588243417e-4,0.012351104518122014,Intensive,0,0.056193344077353116,0,0.017964588833447717,ASV,Intensive
Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Ilumatobacter;ASV74,-768.56,8.677787588723626e-4,0.012351104518122014,Intensive,0.3404591111848751,0.23256965886906628,0.03430555916055493,0.012882231020943536,ASV,Intensive
Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Unclassified_Ilumatobacteraceae;ASV110,-2490.41,8.677787590351141e-4,0.012351104518122014,Intensive,0.26259931370372763,0.16715854257711982,0.041076706836154685,0.03217410173363538,ASV,Intensive
Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Unclassified_Ilumatobacteraceae;ASV1274,-215320.31,8.67778780619035e-4,0.012351104518122014,Intensive,0.04554810346549194,0.023583333959234204,0.01297126256569025,0.00657177192357178,ASV,Intensive
Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Unclassified_Ilumatobacteraceae;ASV233,-945.97,8.67778758877153e-4,0.012351104518122014,Intensive,0.2103427345766571,0.11816906335617237,0.01787159421988488,0.025374983001237757,ASV,Intensive
Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Unclassified_Ilumatobacteraceae;ASV316,-1207.68,8.677787588067704e-4,0.012351104518122014,Intensive,0.17443243829839014,0.11757000698480063,0.006458093643398619,0.006704441106352285,ASV,Intensive
Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia;ASV206,-2895.38,8.677787590750332e-4,0.012351104518122014,Intensive,0.2360164708658462,0.1488157364622477,0.04218866127514769,0.03231550400691835,ASV,Intensive
Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Unclassified_Geodermatophilaceae;ASV3487,-27451.4,8.677787593903437e-4,0.012351104518122014,Intensive,0.014990732655854355,0.0026919362153315614,0.008141414863534051,0.002630037236697061,ASV,Intensive
Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;ASV620,2760.91,8.67778758885444e-4,0.012351104518122014,Intensive,0.019059850968305272,0.08136737361383808,0.022034417470253923,0.01846663609803132,ASV,Intensive
