Taxa,coeff,p,padj,Treatment,Mean_Ctrl,Mean_BMc,Sd_Ctrl,Sd_BMc,Taxonomic_Level,N-Fertilization-Intensity
Actinobacteriota,-11.6,8.677787588125421e-4,0.010413345122778023,Extensive,50.53963761484917,40.925508018471085,4.5161921608283215,0.8848584804698383,Phylum,Extensive
Proteobacteria,51.4,8.677787602315019e-4,0.010413345122778023,Extensive,24.786156694689396,35.08797364813923,8.077812666211992,0.8249924103081788,Phylum,Extensive
Acidobacteriota,178.28,8.677787588156033e-4,0.0034711150373149644,Intensive,2.0994789137092846,2.8166012383893997,0.11922907721597058,0.2381767536682381,Phylum,Intensive
Actinobacteriota,-3.27,0.00823141972461237,0.028222010484385267,Intensive,46.60900921196753,43.46283258843275,0.9985185408562819,2.072781188697615,Phylum,Intensive
Bacteroidota,200.64,8.677787588720361e-4,0.0034711150373149644,Intensive,2.8703219787259497,3.7052010267417668,0.24424968872279545,0.24033996229628246,Phylum,Intensive
Chloroflexi,26.25,8.677787589176846e-4,0.0034711150373149644,Intensive,0.5299353718997829,2.646458185878968,0.12957050415354582,0.31446841393742764,Phylum,Intensive
Desulfobacterota,-1826.48,8.677787593287411e-4,0.0034711150373149644,Intensive,0.15851380787899763,0,0.25545995233033497,0,Phylum,Intensive
Gemmatimonadota,-123.64,8.677787588911216e-4,0.0034711150373149644,Intensive,2.9558657403636013,2.1968081766877017,0.17463284508466645,0.11920310824305975,Phylum,Intensive
Myxococcota,671.66,8.677787589206654e-4,0.0034711150373149644,Intensive,1.1526843651897702,1.4290430403037293,0.10039154642837161,0.08765008258865818,Phylum,Intensive
Proteobacteria;Gammaproteobacteria,1151.73,8.67778766922311e-4,0.03905004451150399,Extensive,7.370963211472291,9.447931300423534,1.4724858645123111,0.7514238541056261,Class,Extensive
Acidobacteriota;Acidobacteriae,67.85,0.006418225304152663,0.02888201386868698,Intensive,0.22500001102756992,0.3325077993901261,0.02894899733264313,0.05536549727780006,Class,Intensive
Acidobacteriota;Blastocatellia,53.89,0.011335554207352968,0.03923845687160643,Intensive,0.4224355005998468,0.5410192575554137,0.021793973313325023,0.07698049400428206,Class,Intensive
Acidobacteriota;Thermoanaerobaculia,-520.74,8.67778758905698e-4,0.004338893799749588,Intensive,0.2628528143815524,0.09401917302970023,0.06507645528269958,0.031109886692809483,Class,Intensive
Acidobacteriota;Vicinamibacteria,111.01,8.67778758825785e-4,0.004338893799749588,Intensive,1.1891905877003157,1.8490550084141597,0.06965546887946306,0.13775564974192167,Class,Intensive
Actinobacteriota;Acidimicrobiia,-77.74,8.677787588865918e-4,0.004338893799749588,Intensive,3.556256361570501,2.4491156148589956,0.16667563755924472,0.38218301258833637,Class,Intensive
Actinobacteriota;Actinobacteria,-2.35,0.00932084853883726,0.03813074402251606,Intensive,27.41440664427128,24.6106934522559,0.9697241760978992,1.5035720161365347,Class,Intensive
Bacteroidota;Bacteroidia,177.18,8.677787588451077e-4,0.004338893799749588,Intensive,2.845487466070738,3.6970978859328056,0.23547401596023287,0.23782359949181417,Class,Intensive
Chloroflexi;Anaerolineae,8951.52,8.677787599499175e-4,0.004338893799749588,Intensive,0.026003211156451343,0.11140493763755109,0.02839793797654761,0.028487803562780606,Class,Intensive
Chloroflexi;Chloroflexia,27.12,8.677787589146815e-4,0.004338893799749588,Intensive,0.5039321607433316,2.535053248241417,0.11411649875704515,0.30982758701497287,Class,Intensive
Desulfobacterota;Desulfovibrionia,-1826.48,8.677787593287411e-4,0.004338893799749588,Intensive,0.15851380787899763,0,0.25545995233033497,0,Class,Intensive
Gemmatimonadota;Gemmatimonadetes,-133.17,8.677787589121877e-4,0.004338893799749588,Intensive,2.840527695945513,2.0988732808099257,0.18108707141496172,0.14324296935127673,Class,Intensive
Myxococcota;Polyangia,1691.07,8.677787595488826e-4,0.004338893799749588,Intensive,0.840921578037783,1.1006776732406707,0.11289573043453663,0.09635984127906086,Class,Intensive
Proteobacteria;Gammaproteobacteria,4.21,0.010410304258328442,0.03903864096873166,Intensive,7.894716196616852,9.29523908102451,0.6453694991051997,0.7100029203133419,Class,Intensive
Actinobacteriota;Actinobacteria;Micrococcales,-27.4,8.677787588917193e-4,0.021347365280070543,Extensive,10.58177406861612,7.618810489659254,1.2666325685713202,0.15518547366202257,Order,Extensive
Firmicutes;Bacilli;Paenibacillales,-196.94,8.677787587978798e-4,0.021347365280070543,Extensive,2.068645430434779,1.5227864087695198,0.23254793216402833,0.08545299049018912,Order,Extensive
Myxococcota;Polyangia;Haliangiales,625.32,8.677787589369767e-4,0.021347365280070543,Extensive,0.2663096380967901,0.4230830363424589,0.05617270028776578,0.0426829207008256,Order,Extensive
Proteobacteria;Alphaproteobacteria;Acetobacterales,1429.06,8.677787588758117e-4,0.021347365280070543,Extensive,0.02988467411344335,0.08839044681201916,0.012367615956236868,0.01766286847585857,Order,Extensive
Proteobacteria;Gammaproteobacteria;Burkholderiales,21084.66,8.677790764256317e-4,0.021347365280070543,Extensive,4.089339233036209,5.444167536833613,0.9730255846915479,0.26009271704035614,Order,Extensive
Acidobacteriota;Acidobacteriae;Bryobacterales,1815.9,8.677787588703416e-4,0.005929821929198143,Intensive,0.20937199729632747,0.2945984417462647,0.026908113912935416,0.029647548414583672,Order,Intensive
Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales,-520.74,8.67778758905698e-4,0.005929821929198143,Intensive,0.2628528143815524,0.09401917302970023,0.06507645528269958,0.031109886692809483,Order,Intensive
Acidobacteriota;Vicinamibacteria;Vicinamibacterales,111.01,8.67778758825785e-4,0.005929821929198143,Intensive,1.1891905877003157,1.8490550084141597,0.06965546887946306,0.13775564974192167,Order,Intensive
Actinobacteriota;Acidimicrobiia;Microtrichales,-77.74,8.677787588865918e-4,0.005929821929198143,Intensive,3.556256361570501,2.4491156148589956,0.16667563755924472,0.38218301258833637,Order,Intensive
Actinobacteriota;Actinobacteria;Propionibacteriales,-183.12,8.67778759152012e-4,0.005929821929198143,Intensive,8.559661031555013,6.989034684805083,0.30198589387066777,0.6816648977471051,Order,Intensive
Actinobacteriota;Actinobacteria;Streptomycetales,-50.97,8.677787588782751e-4,0.005929821929198143,Intensive,6.151848339011472,4.376054166502094,0.33875288021967154,0.3275467969089447,Order,Intensive
Actinobacteriota;Thermoleophilia;Gaiellales,87.52,8.677787588700742e-4,0.005929821929198143,Intensive,4.20756375338801,5.183638595364271,0.2673339381185676,0.050801104203382796,Order,Intensive
Bacteroidota;Bacteroidia;Chitinophagales,202.83,8.677787589026644e-4,0.005929821929198143,Intensive,1.9319206141439198,2.3911538398181005,0.14819165670220102,0.06569055242405177,Order,Intensive
Bacteroidota;Bacteroidia;Sphingobacteriales,50385.43,8.677788189070454e-4,0.005929821929198143,Intensive,0.38539911028648827,0.6040814839477675,0.09050978475320587,0.09130913345756264,Order,Intensive
Chloroflexi;Anaerolineae;Caldilineales,2598.84,8.677787589031875e-4,0.005929821929198143,Intensive,0.020158342486679613,0.09188813445457533,0.02506748202401335,0.015413576041803732,Order,Intensive
Chloroflexi;Chloroflexia;Kallotenuales,4374.43,8.677787590824258e-4,0.005929821929198143,Intensive,0.032254768139896556,0.08388268451170197,0.013951792281726695,0.034949881799914706,Order,Intensive
Chloroflexi;Chloroflexia;Thermomicrobiales,28.16,8.677787589157788e-4,0.005929821929198143,Intensive,0.4423007112739166,2.4133886829246824,0.14279550691446766,0.261135529979343,Order,Intensive
Desulfobacterota;Desulfovibrionia;Desulfovibrionales,-1826.48,8.677787593287411e-4,0.005929821929198143,Intensive,0.15851380787899763,0,0.25545995233033497,0,Order,Intensive
Firmicutes;Bacilli;Paenibacillales,-3299.1,8.677787642581981e-4,0.005929821929198143,Intensive,1.832536564322015,1.3797769095033292,0.1263433086097171,0.2734466122478312,Order,Intensive
Firmicutes;Bacilli;Thermoactinomycetales,-1019.54,8.677787589043744e-4,0.005929821929198143,Intensive,0.17593771442642292,0.08372302659238755,0.02319437740394386,0.02619256168754078,Order,Intensive
Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales,-133.17,8.677787589121877e-4,0.005929821929198143,Intensive,2.840527695945513,2.0988732808099257,0.18108707141496172,0.14324296935127673,Order,Intensive
Proteobacteria;Alphaproteobacteria;Micropepsales,24189.67,8.67778761131657e-4,0.005929821929198143,Intensive,0.05796399731611562,0.09761530647029251,0.009645154432468607,0.019270991293023253,Order,Intensive
Proteobacteria;Gammaproteobacteria;Burkholderiales,364.71,8.677787593122461e-4,0.005929821929198143,Intensive,4.153026306803963,5.053830089668635,0.276477000112706,0.5288031293159193,Order,Intensive
Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae,-610.68,8.677787590016179e-4,0.015419761044219507,Extensive,0.9804829093296692,0.6634044000676566,0.20428157620374782,0.09957887213773342,Family,Extensive
Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae,-333.56,8.677787588484767e-4,0.015419761044219507,Extensive,2.414140768933385,1.965433446853961,0.16410725764042455,0.0916225473068103,Family,Extensive
Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae,-42.85,8.677787588779672e-4,0.015419761044219507,Extensive,6.375591575231253,4.527564795096323,0.8106547057678284,0.18134937789553465,Family,Extensive
Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae,2527.64,8.677787592801125e-4,0.015419761044219507,Extensive,0.1866275104193127,0.31058199984318624,0.06582199050951804,0.05255237547727164,Family,Extensive
Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae,-196.94,8.677787587978798e-4,0.015419761044219507,Extensive,2.068645430434779,1.5227864087695198,0.23254793216402833,0.08545299049018912,Family,Extensive
Myxococcota;Polyangia;Haliangiales;Haliangiaceae,625.32,8.677787589369767e-4,0.015419761044219507,Extensive,0.2663096380967901,0.4230830363424589,0.05617270028776578,0.0426829207008256,Family,Extensive
Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae,1429.06,8.677787588758117e-4,0.015419761044219507,Extensive,0.02988467411344335,0.08839044681201916,0.012367615956236868,0.01766286847585857,Family,Extensive
Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae,102.56,8.677787589615168e-4,0.015419761044219507,Extensive,1.0951000337832055,2.06478998545004,0.4651243591126447,0.06890528486744156,Family,Extensive
Proteobacteria;Alphaproteobacteria;Rhizobiales;Labraceae,10253.61,8.677787591493029e-4,0.015419761044219507,Extensive,0.01188378233697253,0.039537102279869125,0.014017585998424589,0.00962571921319677,Family,Extensive
