,,Merged,Contaminant_free,,,FS.CT.Ext.C1..2020.trimmed_cutadapt_1.fq,
FS.CT.Ext.C1..2020.trimmed,144884,63314,44113,30.44711631,,FS.CT.Ext.C2..2020.trimmed_cutadapt_1.fq,
FS.CT.Ext.C2..2020.trimmed,140876,61539,43095,30.59073228,,FS.CT.Ext.C3..2020.trimmed_cutadapt_1.fq,
FS.CT.Ext.C3..2020.trimmed,141992,59883,45126,31.7806637,,FS.CT.Ext.C4..2020.trimmed_cutadapt_1.fq,
FS.CT.Ext.C4..2020.trimmed,135922,19876,13432,9.882138285,,FS.CT.Ext.I1..2020.trimmed_cutadapt_1.fq,
FS.CT.Ext.I1..2020.trimmed,134331,59287,42132,31.3643165,,FS.CT.Ext.I2..2020.trimmed_cutadapt_1.fq,
FS.CT.Ext.I2..2020.trimmed,138746,55673,39141,28.21054301,,FS.CT.Ext.I3..2020.trimmed_cutadapt_1.fq,
FS.CT.Ext.I3..2020.trimmed,133446,60236,41737,31.27632151,,FS.CT.Ext.I4..2020.trimmed_cutadapt_1.fq,
FS.CT.Ext.I4..2020.trimmed,130887,47318,33988,25.96743756,,FS.CT.Int.C1..2020.trimmed_cutadapt_1.fq,
FS.CT.Int.C1..2020.trimmed,128412,58139,41354,32.20415537,,FS.CT.Int.C2..2020.trimmed_cutadapt_1.fq,
FS.CT.Int.C2..2020.trimmed,129598,55304,38869,29.99197518,,FS.CT.Int.C3..2020.trimmed_cutadapt_1.fq,
FS.CT.Int.C3..2020.trimmed,135256,50569,36181,26.75001479,,FS.CT.Int.C4..2020.trimmed_cutadapt_1.fq,
FS.CT.Int.C4..2020.trimmed,139815,57749,41520,29.69638451,,FS.CT.Int.I1..2020.trimmed_cutadapt_1.fq,
FS.CT.Int.I1..2020.trimmed,141143,71229,31714,22.46941046,,FS.CT.Int.I2..2020.trimmed_cutadapt_1.fq,
FS.CT.Int.I2..2020.trimmed,132377,54561,38603,29.16141021,,FS.CT.Int.I3..2020.trimmed_cutadapt_1.fq,
FS.CT.Int.I3..2020.trimmed,142598,59485,40027,28.06981865,,FS.CT.Int.I4..2020.trimmed_cutadapt_1.fq,
FS.CT.Int.I4..2020.trimmed,129721,54356,37963,29.26511513,,FSCTExt.T0.1..2020.trimmed_cutadapt_1.fq,136656
RH.CT.Ext.C1..2020.trimmed,142528,55186,48438,33.98490121,,FSCTExt.T0.2..2020.trimmed_cutadapt_1.fq,134254
RH.CT.Ext.C2..2020.trimmed,135369,54297,47036,34.74650769,,FSCTExt.T0.3..2020.trimmed_cutadapt_1.fq,129552
RH.CT.Ext.C3..2020.trimmed,116686,50514,43999,37.70717995,,FSCTExt.T0.4..2020.trimmed_cutadapt_1.fq,131022
RH.CT.Ext.C4..2020.trimmed,139110,57410,49354,35.47839839,,FSCTInt.T0.1..2020.trimmed_cutadapt_1.fq,146741
RH.CT.Ext.I1..2020.trimmed,140011,56470,47479,33.910907,,FSCTInt.T0.2..2020.trimmed_cutadapt_1.fq,145784
RH.CT.Ext.I2..2020.trimmed,133900,56606,48153,35.96191187,,FSCTInt.T0.3..2020.trimmed_cutadapt_1.fq,145441
RH.CT.Ext.I3..2020.trimmed,136419,56439,46536,34.1125503,,FSCTInt.T0.4..2020.trimmed_cutadapt_1.fq,133708
RH.CT.Ext.I4..2020.trimmed,141270,58871,49523,35.05556735,,RH.CT.Ext.C1..2020.trimmed_cutadapt_1.fq,
RH.CT.Int.C1..2020.trimmed,132167,53783,46411,35.11542216,,RH.CT.Ext.C2..2020.trimmed_cutadapt_1.fq,
RH.CT.Int.C2..2020.trimmed,117110,44543,38034,32.47715823,,RH.CT.Ext.C3..2020.trimmed_cutadapt_1.fq,
RH.CT.Int.C3..2020.trimmed,132749,56575,47840,36.03793626,,RH.CT.Ext.C4..2020.trimmed_cutadapt_1.fq,
RH.CT.Int.C4..2020.trimmed,118801,47253,40578,34.15627815,,RH.CT.Ext.I1..2020.trimmed_cutadapt_1.fq,
RH.CT.Int.I1..2020.trimmed,138346,56328,47578,34.39058592,,RH.CT.Ext.I2..2020.trimmed_cutadapt_1.fq,
RH.CT.Int.I2..2020.trimmed,143708,57292,47841,33.29042225,,RH.CT.Ext.I3..2020.trimmed_cutadapt_1.fq,
RH.CT.Int.I3..2020.trimmed,129111,52452,42775,33.13040717,,RH.CT.Ext.I4..2020.trimmed_cutadapt_1.fq,
RH.CT.Int.I4..2020.trimmed,136797,56717,47070,34.40864931,,RH.CT.Int.C1..2020.trimmed_cutadapt_1.fq,
,,,42113.75,,,RH.CT.Int.C2..2020.trimmed_cutadapt_1.fq,
,4314086,1759254,1347640,31.28413552,,RH.CT.Int.C3..2020.trimmed_cutadapt_1.fq,
,,0.407792983,0.312381348,5.150427999,,RH.CT.Int.C4..2020.trimmed_cutadapt_1.fq,
,0.843342037,,,,,RH.CT.Int.I1..2020.trimmed_cutadapt_1.fq,
,,,,,,RH.CT.Int.I2..2020.trimmed_cutadapt_1.fq,
,,,,,,RH.CT.Int.I3..2020.trimmed_cutadapt_1.fq,
