"padj","coeff","N-Fertilization_Intensity","sdt","Treatment","mean","p-value_corrected_(BH)","Phylum","Class","Order","Family","Genus","ASV","Acronym"
"p<0.05",-337.85,"Extensive",0.06055541701073074,"Ctrl",1.174,0.015834284580080314,"Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Agromyces","ASV3","Agromyces_ASV3"
"p<0.05",-337.85,"Extensive",0.03357892539098027,"BMc",0.95,0.015834284580080314,"Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Agromyces","ASV3","Agromyces_ASV3"
"p<0.05",-97.16,"Extensive",0.34641647403427134,"Ctrl",3.162,0.015834284580080314,"Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter","ASV2","Pseudarthrobacter_ASV2"
"p<0.05",-97.16,"Extensive",0.11966506041460097,"BMc",2.324,0.015834284580080314,"Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter","ASV2","Pseudarthrobacter_ASV2"
"p<0.05",-219.42,"Extensive",0.1318270901639008,"Ctrl",1.402,0.015834284580080314,"Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter","ASV5","Pseudarthrobacter_ASV5"
"p<0.05",-219.42,"Extensive",0.07122641490555776,"BMc",1.027,0.015834284580080314,"Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter","ASV5","Pseudarthrobacter_ASV5"
"p<0.05",-280.61,"Extensive",0.25041521362041436,"Ctrl",0.958,0.015834284580080314,"Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Unclassified_Micrococcaceae","ASV24","Unclassified_Micrococcaceae_ASV24"
"p<0.05",-280.61,"Extensive",0.07458740467050629,"BMc",0.522,0.015834284580080314,"Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Unclassified_Micrococcaceae","ASV24","Unclassified_Micrococcaceae_ASV24"
"p>0.05",9.37,"Extensive",0.1398918880240676,"Ctrl",0.522,0.5765726441166595,"Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Microlunatus","ASV19","Microlunatus_ASV19"
"p>0.05",9.37,"Extensive",0.03499385065844201,"BMc",0.599,0.5765726441166595,"Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Microlunatus","ASV19","Microlunatus_ASV19"
