"OTU2","padj","coeff","N-Fertilization_Intensity","sdt","OTU","Treatment","mean","p-value_corrected_(BH)"
"Podila;OTU50","p<0.05",-50.08,"Ext",3.4394303245440963,"Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Podila;OTU50","Ctrl",6.306,0.002959224092833877
"Podila;OTU50","p<0.05",-50.08,"Ext",1.0706695413100935,"Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Podila;OTU50","BMc",2.044,0.002959224092833877
"Trichoderma;OTU354","p<0.05",32.02,"Ext",0.2838081455253335,"Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma;OTU354","Ctrl",0.362,0.002959224092833877
"Trichoderma;OTU354","p<0.05",32.02,"Ext",1.4405806756002804,"Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma;OTU354","BMc",4.166,0.002959224092833877
"Mortierella;OTU602","p<0.05",-173.35,"Ext",0.887150604667845,"Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Mortierella;OTU602","Ctrl",2.614,0.002959224092833877
"Mortierella;OTU602","p<0.05",-173.35,"Ext",0.3346753639178603,"Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Mortierella;OTU602","BMc",1.068,0.002959224092833877
"Stachybotrys;OTU692","p<0.05",-17.96,"Ext",0.615906039197326,"Ascomycota;Sordariomycetes;Hypocreales;Stachybotryaceae;Stachybotrys;OTU692","Ctrl",4.858,0.002959224092833877
"Stachybotrys;OTU692","p<0.05",-17.96,"Ext",0.12460055563388449,"Ascomycota;Sordariomycetes;Hypocreales;Stachybotryaceae;Stachybotrys;OTU692","BMc",1.143,0.002959224092833877
"Hypocreales_gen_Incertae_sedis;OTU697","p>0.05",2.75,"Ext",0.6344445688367154,"Ascomycota;Sordariomycetes;Hypocreales;Hypocreales_fam_Incertae_sedis;Hypocreales_gen_Incertae_sedis;OTU697","Ctrl",0.789,0.09728415805433797
"Hypocreales_gen_Incertae_sedis;OTU697","p>0.05",2.75,"Ext",0.6266076654065429,"Ascomycota;Sordariomycetes;Hypocreales;Hypocreales_fam_Incertae_sedis;Hypocreales_gen_Incertae_sedis;OTU697","BMc",1.717,0.09728415805433797
"Niesslia;OTU723","p>0.05",-4.47,"Ext",0.2730097955994313,"Ascomycota;Sordariomycetes;Hypocreales;Niessliaceae;Niesslia;OTU723","Ctrl",1.327,0.3792008873266692
"Niesslia;OTU723","p>0.05",-4.47,"Ext",0.1222544464517115,"Ascomycota;Sordariomycetes;Hypocreales;Niessliaceae;Niesslia;OTU723","BMc",1.171,0.3792008873266692
"Rhizopus;OTU1013","p>0.05",-0.85,"Ext",0.6676828881224601,"Mucoromycota;Mucoromycetes;Mucorales;Rhizopodaceae;Rhizopus;OTU1013","Ctrl",1.984,0.6869771152620987
"Rhizopus;OTU1013","p>0.05",-0.85,"Ext",0.23738603814075288,"Mucoromycota;Mucoromycetes;Mucorales;Rhizopodaceae;Rhizopus;OTU1013","BMc",1.824,0.6869771152620987
