"OTU","padj","coeff","N-Fertilization_Intensity","sdt","Treatment","mean","p-value_corrected_(BH)"
"Aphelidiomycota","p>0.05",14.57,"Ext",0.018644386577161956,"Ctrl",0.019,0.7926415602150867
"Aphelidiomycota","p>0.05",14.57,"Ext",0.009333724818161875,"BMc",0.021,0.7926415602150867
"Ascomycota","p<0.05",10.43,"Ext",2.66741806455467,"Ctrl",68.151,0.0030372256563455094
"Ascomycota","p<0.05",10.43,"Ext",4.380045046498912,"BMc",80.696,0.0030372256563455094
"Basidiomycota","p>0.05",-0.79,"Ext",2.5962716960744476,"Ctrl",11.068,0.2047875177234049
"Basidiomycota","p>0.05",-0.79,"Ext",1.4229604378884146,"BMc",9.119,0.2047875177234049
"Chytridiomycota","p>0.05",4.53,"Ext",0.1466111075986169,"Ctrl",0.575,0.2047875177234049
"Chytridiomycota","p>0.05",4.53,"Ext",0.3741718381636906,"BMc",0.854,0.2047875177234049
"Fungi_phy_Incertae_sedis","p<0.05",-48.45,"Ext",0.7526124992533525,"Ctrl",3.444,0.0030372256563455094
"Fungi_phy_Incertae_sedis","p<0.05",-48.45,"Ext",0.3520287840972247,"BMc",1.235,0.0030372256563455094
"Glomeromycota","p>0.05",1.57,"Ext",0.1911550633282331,"Ctrl",0.481,0.48902181611186746
"Glomeromycota","p>0.05",1.57,"Ext",0.5720925216386465,"BMc",0.697,0.48902181611186746
"Kickxellomycota","p>0.05",35.22,"Ext",0.023706274219124086,"Ctrl",0.086,0.2005944659849181
"Kickxellomycota","p>0.05",35.22,"Ext",0.07235877101468471,"BMc",0.142,0.2005944659849181
"Monoblepharomycota","p>0.05",-463.53,"Ext",9.186363761632233e-4,"Ctrl",0,0.7247606836592859
"Monoblepharomycota","p>0.05",-463.53,"Ext",5.293021680216802e-4,"BMc",0,0.7247606836592859
"Mortierellomycota","p<0.05",-21.83,"Ext",4.201044741450692,"Ctrl",13.277,0.0030372256563455094
"Mortierellomycota","p<0.05",-21.83,"Ext",2.2634223461352407,"BMc",4.705,0.0030372256563455094
"Mucoromycota","p>0.05",-2.19,"Ext",0.8848691652004704,"Ctrl",2.771,0.2047875177234049
"Mucoromycota","p>0.05",-2.19,"Ext",0.31375130958548453,"BMc",2.163,0.2047875177234049
"Neocallimastigomycota","p>0.05",2959.26,"Ext",0,"Ctrl",0,0.2751207146091142
"Neocallimastigomycota","p>0.05",2959.26,"Ext",0.0030165912518853697,"BMc",0.002,0.2751207146091142
"Olpidiomycota","p<0.05",592.03,"Ext",0.0015186891350340483,"Ctrl",0.001,0.0030372256563455094
"Olpidiomycota","p<0.05",592.03,"Ext",0.13684668764758465,"BMc",0.17,0.0030372256563455094
"Rozellomycota","p>0.05",69.3,"Ext",0.012735436864972364,"Ctrl",0.02,0.2005944659849181
"Rozellomycota","p>0.05",69.3,"Ext",0.024528018106644595,"BMc",0.044,0.2005944659849181
