"ASV","padj","coeff","N-Fertilization_Intensity","sdt","Treatment","mean","p-value_corrected_(BH)"
"Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Unclassified_Vicinamibacteraceae","p<0.05",124.02,"Intensive",0.07992148173427807,"Ctrl",1.107,0.010448765508899333
"Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Unclassified_Vicinamibacteraceae","p<0.05",124.02,"Intensive",0.1317066704662063,"BMc",1.729,0.010448765508899333
"Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Unclassified_Ilumatobacteraceae","p<0.05",-138.46,"Intensive",0.11329037419316307,"Ctrl",2.259,0.010448765508899333
"Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Unclassified_Ilumatobacteraceae","p<0.05",-138.46,"Intensive",0.2921516990087731,"BMc",1.538,0.010448765508899333
"Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Pseudarthrobacter","p>0.05",-4.73,"Intensive",0.4232249389305448,"Ctrl",4.669,0.5693665299149079
"Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Pseudarthrobacter","p>0.05",-4.73,"Intensive",0.18330069984883662,"BMc",4.376,0.5693665299149079
"Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides","p<0.05",-234.38,"Intensive",0.1632875319413475,"Ctrl",5.185,0.010448765508899333
"Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides","p<0.05",-234.38,"Intensive",0.4648180882833598,"BMc",4.245,0.010448765508899333
"Actinobacteriota;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces","p<0.05",-73.7,"Intensive",0.39936437801959024,"Ctrl",5.35,0.010448765508899333
"Actinobacteriota;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces","p<0.05",-73.7,"Intensive",0.22581395477685978,"BMc",3.935,0.010448765508899333
"Actinobacteriota;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter","p>0.05",-1.45,"Intensive",0.3087286879678828,"Ctrl",2.33,1
"Actinobacteriota;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter","p>0.05",-1.45,"Intensive",0.35185728944729944,"BMc",2.21,1
"Actinobacteriota;Thermoleophilia;Gaiellales;Gaiellaceae;Gaiella","p<0.05",87.52,"Intensive",0.2673339381185676,"Ctrl",4.208,0.010448765508899333
