Row.names	RH_CT_Ext_Ctrl1	RH_CT_Ext_Ctrl2	RH_CT_Ext_Ctrl3	RH_CT_Ext_Ctrl4	RH_CT_Ext_BM1	RH_CT_Ext_BM2	RH_CT_Ext_BM3	RH_CT_Ext_BM4	logFC	logCPM	LR	PValue	FDR	rownames(sub_RH)	phylum	class	order	family	genus	species	its2_tax_heat	Ext_Ctrl	Ext_Ctrl.std	Ext_BM
1	SH0882333.09FU_Sporobolomyces	0.837620858499242	0.358268186703657	0.346413000396354	0.624128173448647	0.12279810298103	0.170734262071855	0.0719525113425139	0.191050779286073	-1.8225882945574	11.7232157993666	7.51578905730543	0.00611604877699411	0.0268608085729691	SH0882333.09FU_Sporobolomyces	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	s__Sporobolomyces_roseus	SH0882333.09FU_Sporobolomyces	0.541607554761975	0.235335056484649	0.139133913920368
2	SH0884516.09FU_Penicillium	0	0	0	0	0.0052930216802168	0.00628469676338117	0.00299802130593808	0.00603318250377074	5.63368340821976	5.49814373232082	11.6358016171277	0.00064694456309744	0.00428071729600923	SH0884516.09FU_Penicillium	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	s__Penicillium_sp	SH0884516.09FU_Penicillium	0	0	0.0051522305633267
3	SH0885402.09FU_Fusariella	0.0107705946196737	0.0532809098174669	0.00475624256837099	0	0	0.00104744946056353	0	0	-5.27150801833978	6.60692993475679	7.84737808420338	0.00508944652543379	0.0233982346753709	SH0885402.09FU_Fusariella	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Fusariella	s__Fusariella_sp	SH0885402.09FU_Fusariella	0.0172019367513779	0.0244530597322976	0.000261862365140882
4	SH0885414.09FU_Fusariella	0.00911358006280085	0.000918636376163223	0.001585414189457	0.00398549280618548	0.117505081300813	0.0272336859746517	0.00999340435312694	0.0251382604323781	3.73549653215234	8.2292213843587	9.96880714345905	0.00159214610493706	0.00931602844872266	SH0885414.09FU_Fusariella	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Fusariella	s__Fusariella_hughesii	SH0885414.09FU_Fusariella	0.00390078085865164	0.00371638534887899	0.0449676080152424
5	SH0886369.09FU_Cyathus	0.752284608820288	0	0.001585414189457	0.00318839424494839	0.00211720867208672	0	0	0	-8.07647465304724	9.97905693787935	12.5225263214862	0.000402074866527287	0.0029965158473823	SH0886369.09FU_Cyathus	Basidiomycota	Agaricomycetes	Agaricales	Nidulariaceae	Cyathus	s__Cyathus_stercoreus	SH0886369.09FU_Cyathus	0.189264604313673	0.375348926680168	0.00052930216802168
6	SH0886909.09FU_Septoglomus	0	0	0	0	0.00105860433604336	0.00314234838169058	0.0319788939300062	0.0271493212669683	7.06554165700115	6.54642562654707	14.1198675579211	0.000171522568326384	0.00155689715865487	SH0886909.09FU_Septoglomus	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Septoglomus	s__Septoglomus_sp	SH0886909.09FU_Septoglomus	0	0	0.0158322919786771
7	SH0888026.09FU_Podila	4.77800147474296	4.75486188302084	11.4514466904479	4.23897014865888	1.09988990514905	1.23913271184665	2.48935702436392	3.34841628959276	-1.57561615216068	15.320550711603	17.2686270844304	3.24500623839008e-05	0.000441820080150034	SH0888026.09FU_Podila	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	s__Podila_minutissima	SH0888026.09FU_Podila	6.30582004921764	3.4394303245441	2.0441989827381
8	SH0888087.09FU_Halosphaeriaceae_gen_Incertae_sedis	0.00745656550592797	0.0477690915604876	0.0103051922314705	0.0789127575624726	0.00211720867208672	0	0	0	-5.53618361022814	7.53951820345789	14.1891081583987	0.00016532472057597	0.00155689715865487	SH0888087.09FU_Halosphaeriaceae_gen_Incertae_sedis	Ascomycota	Sordariomycetes	Microascales	Halosphaeriaceae	Halosphaeriaceae_gen_Incertae_sedis	s__Halosphaeriaceae_sp	SH0888087.09FU_Halosphaeriaceae_gen_Incertae_sedis	0.0361109017150897	0.0339358113698598	0.00052930216802168
9	SH0888539.09FU_Heterocephalacria	0	0.000918636376163223	0	0	0.014820460704607	0.01780664082958	0.0119920852237523	0.00804424333836098	5.55974592469596	6.50546553756171	13.6628345557819	0.000218741048287514	0.00186588749623566	SH0888539.09FU_Heterocephalacria	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Heterocephalacria	s__Heterocephalacria_sp	SH0888539.09FU_Heterocephalacria	0.000229659094040806	0.000459318188081612	0.0131658575240751
10	SH0892274.09FU_Glomus	0	0.000918636376163223	0.000792707094728498	0.000797098561237097	0.00846883468834688	0.0303760343563423	0.10393140527252	0.0301659125188537	5.97436547828419	7.90428535347372	21.0942986316967	4.37227067443041e-06	7.93735291665828e-05	SH0892274.09FU_Glomus	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	s__Glomus_sp	SH0892274.09FU_Glomus	0.000627110508032205	0.000422126793286806	0.0432355467090158
11	SH0892287.09FU_Glomus	0	0	0	0	0	0.0125693935267623	0.0549637239421982	0.00100553041729512	7.2735056276641	6.71497441250155	12.1404028046939	0.000493411180426837	0.00356464403818572	SH0892287.09FU_Glomus	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	s__Glomus_sp	SH0892287.09FU_Glomus	0	0	0.0171346619715639
12	SH0894667.09FU_Linnemannia	0.387741406308254	1.69029093214033	0.729290527150218	0.952532780678331	0.0169376693766938	0.0879857546873363	0.087941958307517	0.0985419808949221	-3.53137556833886	12.1989367884824	24.5141246802664	7.37670831833293e-07	2.27074325625205e-05	SH0894667.09FU_Linnemannia	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	s__Linnemannia_elongata	SH0894667.09FU_Linnemannia	0.939963911569284	0.55150750508313	0.0728518408166173
13	SH0903512.09FU_Betamyces	0	0	0	0	0.0105860433604336	0.00418979784225411	0.022984830012192	0.0110608345902464	6.80972890745929	6.33404151757251	15.3172574625806	9.0882457775747e-05	0.000960369852316849	SH0903512.09FU_Betamyces	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Alphamycetaceae	Betamyces	s__Betamyces_sp	SH0903512.09FU_Betamyces	0	0	0.0122053764512815
