"","Nutrient","FFert","FBMc","PFert","PBMc","Fint","Pint","shap"
"1","Ntotal",4.60235439560268,4.16346915087106,0.0530858151153231,0.0639391508318111,0.371855899724827,0.553366345904015,0.659621406614386
"2","Ctotal",0.0024273442570023,1.05013929341669,0.961516191942366,0.325689808951723,0.0184217558691342,0.894287532092222,0.0956322021167393
"3","CN-ratio",5.49682725445651,4.58019117869932,0.0370792325556085,0.0535778564319677,0.496877697828181,0.494330084630497,0.494315688528385
"4","Ca",0.104175275014524,0.32731725938237,0.752429940999196,0.57780379143727,0.194489297172652,0.667046778761745,0.960849981915729
"5","Cu",9.6517901519991,2.68381453479092,0.0090757580815685,0.127308172785285,0.33503634515163,0.573412758574497,0.915455401271276
"6","Fe",2.86061456862248,17.1405430728069,0.116556040070606,0.00137054247216508,0.00255663380577127,0.960505512453376,0.192673846655454
"7","K",2.03736817588679,0.179739524001951,0.178976190238756,0.679097792979816,1.76799192398746,0.208353601553706,0.586349162086864
"8","Mg",22.274605182856,1.46736928267206,0.000497318872993433,0.249076561517997,1.95342185296326,0.187521344114913,0.783593212316819
"9","Mn",1.20204005461162,0.924439184517892,0.29442947141592,0.355286416396652,0.232813730593494,0.638127288289724,0.730896246331275
"10","P",8.07638213167714,0.765797384838234,0.0148443410037015,0.398697398002717,0.442503417632291,0.518497754155638,0.722123821858502
"11","S",13.34224942474,10.9652035247214,0.00331012473718473,0.00620855718138179,1.29285896066317,0.277717491233522,0.96166796353648
"12","Zn",0.250454051345221,0.227033012254994,0.625807340518092,0.642291155687986,0.075670972680295,0.787931101170815,0.764904206674856
