kingdom	phylum	class	order	family	genus	species
SH0879294.09FU	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	s__Solicoccozyma_sp
SH0879999.09FU	Fungi	Ascomycota	Sordariomycetes	Xylariales	Lopadostomataceae	Lopadostoma	s__Lopadostoma_fagi
SH0880051.09FU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	s__Glomus_sp
SH0880719.09FU	Fungi	Chytridiomycota	Chytridiomycota_cls_Incertae_sedis	Chytridiomycota_ord_Incertae_sedis	Chytridiomycota_fam_Incertae_sedis	Chytridiomycota_gen_Incertae_sedis	s__Chytridiomycota_sp
SH0880726.09FU	Fungi	Chytridiomycota	Lobulomycetes	Lobulomycetales	Lobulomycetales_fam_Incertae_sedis	Lobulomycetales_gen_Incertae_sedis	s__Lobulomycetales_sp
SH0880805.09FU	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	s__Fungi_sp
SH0881442.09FU	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Collariella	s__Collariella_carteri
SH0881482.09FU	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	s__Chaetomium_sp
SH0881501.09FU	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Dichotomopilus	s__Dichotomopilus_pratensis
SH0881584.09FU	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Botryotrichum	s__Botryotrichum_atrogriseum
SH0881631.09FU	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Dichotomopilus	s__Dichotomopilus_erectus
SH0881646.09FU	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	s__Chaetomium_grande
SH0881816.09FU	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	s__Chaetomium_sp
SH0881819.09FU	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	s__Chaetomium_sp
SH0881853.09FU	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomidium	s__Chaetomidium_leptoderma
SH0881877.09FU	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomiaceae_gen_Incertae_sedis	s__Chaetomiaceae_sp
SH0882085.09FU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricales_fam_Incertae_sedis	Uncobasidium	s__Uncobasidium_sp
SH0882333.09FU	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	s__Sporobolomyces_roseus
SH0882339.09FU	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	s__Sporobolomyces_carnicolor
SH0882688.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Hypocreales_gen_Incertae_sedis	s__Hypocreales_sp
SH0882731.09FU	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Steccherinaceae	Steccherinum	s__Steccherinum_fimbriatum
SH0883398.09FU	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	s__Penicillium_roseopurpureum
SH0884046.09FU	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	s__Penicillium_catenatum
SH0884087.09FU	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	s__Aspergillus_flaschentraegeri
SH0884215.09FU	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	s__Penicillium_lassenii
SH0884393.09FU	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	s__Penicillium_sp
SH0884516.09FU	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	s__Penicillium_sp
SH0884798.09FU	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	s__Penicillium_angulare
SH0885124.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Stemphylium	s__Stemphylium_sp
SH0885285.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Hirsutella	s__Hirsutella_rhossiliensis
SH0885316.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Hirsutella	s__Hirsutella_sp
SH0885372.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Paracylindrocarpon	s__Paracylindrocarpon_nabanheensis
SH0885388.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Lasionectriopsis	s__Lasionectriopsis_spinosa
SH0885392.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Fusariella	s__Fusariella_sp
SH0885402.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Fusariella	s__Fusariella_sp
SH0885412.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Lasionectria	s__Lasionectria_hilhorstii
SH0885414.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Fusariella	s__Fusariella_hughesii
SH0885420.09FU	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	s__Fungi_sp
SH0885427.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Bionectriaceae_gen_Incertae_sedis	s__Bionectriaceae_sp
SH0885431.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	s__Acremonium_masseei
SH0885442.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	s__Acremonium_persicinum
SH0885454.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Hypocreales_gen_Incertae_sedis	s__Hypocreales_sp
SH0885471.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	s__Acremonium_masseei
SH0885515.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Gliomastix	s__Gliomastix_luzulae
SH0885516.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	s__Acremonium_sp
SH0885523.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	s__Acremonium_biseptum
SH0885543.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Bionectriaceae_gen_Incertae_sedis	s__Bionectriaceae_sp
SH0886099.09FU	Fungi	Chytridiomycota	Chytridiomycota_cls_Incertae_sedis	Chytridiomycota_ord_Incertae_sedis	Chytridiomycota_fam_Incertae_sedis	Chytridiomycota_gen_Incertae_sedis	s__Chytridiomycota_sp
SH0886369.09FU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Nidulariaceae	Cyathus	s__Cyathus_stercoreus
SH0886466.09FU	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Auxarthron	s__Auxarthron_longisporum
SH0886550.09FU	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Auxarthron	s__Auxarthron_umbrinum
SH0886553.09FU	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Auxarthron	s__Auxarthron_alboluteum
SH0886909.09FU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Septoglomus	s__Septoglomus_sp
SH0886984.09FU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	s__Glomus_sp
SH0886991.09FU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	s__Glomus_sp
SH0886998.09FU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Septoglomus	s__Septoglomus_sp
SH0887346.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	s__Metarhizium_gaoligongense
SH0887357.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	s__Metarhizium_flavoviride
SH0887509.09FU	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierellaceae_gen_Incertae_sedis	s__Mortierellaceae_sp
SH0888026.09FU	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	s__Podila_minutissima
SH0888050.09FU	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	s__Mortierella_sp
SH0888087.09FU	Fungi	Ascomycota	Sordariomycetes	Microascales	Halosphaeriaceae	Halosphaeriaceae_gen_Incertae_sedis	s__Halosphaeriaceae_sp
SH0888264.09FU	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Diatrypella	s__Diatrypella_favacea
SH0888266.09FU	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Eutypella	s__Eutypella_prunastri
SH0888271.09FU	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Valsaceae	Cytospora	s__Cytospora_populina
SH0888293.09FU	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Diatrype	s__Diatrype_stigma
SH0888302.09FU	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariales_fam_Incertae_sedis	Xylariales_gen_Incertae_sedis	s__Xylariales_sp
SH0888304.09FU	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Eutypa	s__Eutypa_maura
SH0888319.09FU	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Diatrypaceae_gen_Incertae_sedis	s__Diatrypaceae_sp
SH0888324.09FU	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Eutypa	s__Eutypa_sp
SH0888333.09FU	Fungi	Ascomycota	Ascomycota_cls_Incertae_sedis	Ascomycota_ord_Incertae_sedis	Ascomycota_fam_Incertae_sedis	Ascomycota_gen_Incertae_sedis	s__Ascomycota_sp
SH0888354.09FU	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Valsaceae	Cryptosphaeria	s__Cryptosphaeria_eunomia
SH0888368.09FU	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Eutypa	s__Eutypa_lata
SH0888478.09FU	Fungi	Rozellomycota	Rozellomycota_cls_Incertae_sedis	Rozellomycota_ord_Incertae_sedis	Rozellomycota_fam_Incertae_sedis	Rozellomycota_gen_Incertae_sedis	s__Rozellomycota_sp
SH0888539.09FU	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Heterocephalacria	s__Heterocephalacria_sp
SH0888561.09FU	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Myriodontium	s__Myriodontium_keratinophilum
SH0889076.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraophiobolus	s__Paraophiobolus_arundinis
SH0889096.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Pseudoophiobolus	s__Pseudoophiobolus_italicus
SH0889400.09FU	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Hypoxylon	s__Hypoxylon_fragiforme
SH0889769.09FU	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Rhizophydiales_fam_Incertae_sedis	Rhizophydiales_gen_Incertae_sedis	s__Rhizophydiales_sp
SH0889770.09FU	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Rhizophydiales_fam_Incertae_sedis	Rhizophydiales_gen_Incertae_sedis	s__Rhizophydiales_sp
SH0890856.09FU	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza	s__Peziza_aurata
SH0891550.09FU	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Xeromyces	s__Xeromyces_bisporus
SH0891959.09FU	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Bacillicladium	s__Bacillicladium_lobatum
SH0892035.09FU	Fungi	Rozellomycota	Rozellomycota_cls_Incertae_sedis	Rozellomycota_ord_Incertae_sedis	Rozellomycota_fam_Incertae_sedis	Rozellomycota_gen_Incertae_sedis	s__Rozellomycota_sp
SH0892038.09FU	Fungi	Rozellomycota	Rozellomycota_cls_Incertae_sedis	Rozellomycota_ord_Incertae_sedis	Rozellomycota_fam_Incertae_sedis	Rozellomycota_gen_Incertae_sedis	s__Rozellomycota_sp
SH0892274.09FU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	s__Glomus_sp
SH0892287.09FU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	s__Glomus_sp
SH0892325.09FU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	s__Glomus_sp
SH0892412.09FU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomeraceae_gen_Incertae_sedis	s__Glomeraceae_sp
SH0892425.09FU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomeraceae_gen_Incertae_sedis	s__Glomeraceae_sp
SH0892447.09FU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomeraceae_gen_Incertae_sedis	s__Glomeraceae_sp
SH0892486.09FU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomeraceae_gen_Incertae_sedis	s__Glomeraceae_sp
SH0892501.09FU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	s__Glomus_sp
SH0892514.09FU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	s__Glomus_sp
SH0892657.09FU	Fungi	Ascomycota	Ascomycota_cls_Incertae_sedis	Ascomycota_ord_Incertae_sedis	Ascomycota_fam_Incertae_sedis	Ascomycota_gen_Incertae_sedis	s__Ascomycota_sp
