"","RH.CT.Ext.C1..2020.trimmed","RH.CT.Ext.C2..2020.trimmed","RH.CT.Ext.C3..2020.trimmed","RH.CT.Ext.C4..2020.trimmed","RH.CT.Ext.I1..2020.trimmed","RH.CT.Ext.I2..2020.trimmed","RH.CT.Ext.I3..2020.trimmed","RH.CT.Ext.I4..2020.trimmed","RH.CT.Int.C1..2020.trimmed","RH.CT.Int.C2..2020.trimmed","RH.CT.Int.C3..2020.trimmed","RH.CT.Int.C4..2020.trimmed","RH.CT.Int.I1..2020.trimmed","RH.CT.Int.I2..2020.trimmed","RH.CT.Int.I3..2020.trimmed","RH.CT.Int.I4..2020.trimmed"
"ASV20",0.125934183905198,0,0.154548967021978,0.0992827329091867,3.36780471366288,2.80771706851079,1.58372013065154,1.85166488298366,1.10534140613217,1.01751064836725,0.664715719063545,0.791069052195771,1.83277985623608,2.03800087790807,0.691992986557569,0.769067346505205
"ASV2",3.68099426070441,2.98069563738413,3.00915929907498,2.97645580905296,2.23677836517197,2.49620999730027,2.31218841327145,2.24945984693981,2.5144900993299,3.23657779881159,2.85535117056856,2.63443245108187,2.51376686703939,2.74868836353755,2.52250146113384,2.52390057361377
"ASV472",0.152772616540732,0.161578365507271,0.115911725266483,0.204644000486283,0,0,0,0,0,0.168270494820424,0,0.128148257676574,0.117701458657363,0,0.126241963763881,0.167835139154451
"ASV372",0.105289235724018,0.116931711880262,0.138639514534421,0.0344450297848199,0,0,0,0,0.168063605610739,0.202450439080822,0.288461538461538,0.189757996944157,0.132414140989533,0,0,0.0934777990227321
"ASV751",0,0,0,0,0.0610796352071442,0.0934521213631549,0.107443699501461,0.0807705510570846,0.131434358234039,0.086764473891781,0.112876254180602,0.0887180245453201,0.088276093993022,0.0815200351163228,0.0771478667445938,0.0679838538347143
"ASV812",0.107353730542136,0.0850412450038269,0,0.121570693358188,0,0,0,0,0.0883411260261576,0,0,0,0,0,0,0
"ASV786",0.0805152979066023,0.104175525129688,0,0.127649228026097,0,0,0,0,0,0,0,0,0,0,0,0.0871043127257276
"ASV24",1.32747016804988,0.871672761289225,0.770472056183095,0.863151922843133,0.423345057815034,0.604323718148402,0.535069623517277,0.52500858187105,0.680873068884532,0.943892306883315,0.78804347826087,0.813248558332101,0.899575434024129,0.73159005873623,0.722384570426651,0.671340556617803
"ASV670",0.0743218134522482,0.0914193383791139,0,0.083073307128095,0,0,0,0,0,0,0,0,0,0,0,0
"ASV38",0.425285932532309,0.350795135640786,0.331825723311893,0.534911050776026,0.522336190736957,0.398729051149461,0.373904074265085,0.438180239484684,0.0969597724677339,0.113056738707472,0,0.13307703681798,0.369918870065997,0.451495579105788,0.521332554061952,0.420650095602294
"ASV101",0.235352409265453,0.225359299260141,0.213641219118616,0.261376990720104,0.286442427178331,0.211824808423151,0.210589651022864,0.19586858631343,0.0560212018702463,0.0578429825945207,0.0585284280936455,0.0616097392675834,0.250115599646896,0.265462678455718,0.296902396259497,0.231570002124495
"ASV1005",0,0.0892933072540182,0.127275619900452,0,0,0,0,0,0.140053004675616,0.0920229268549193,0.142140468227425,0.123219478535167,0,0,0,0
"ASV134",0.130063173541434,0.140318054256314,0.147730630241596,0,0.103203521556899,0.130832969908417,0.103145951521403,0.109040243927064,0.196074206545862,0.226113477414945,0.24247491638796,0.31790625462073,0,0.104512865533747,0.0958503798947984,0.127469725940089
"ASV27",0.782443536066725,0.642061399778893,0.775017614036683,0.437654496089476,0.43598222371996,0.467260606815775,0.605982465188241,0.516931526765341,0.907112537975911,0.87027396539938,1.08904682274247,1.29134013504855,0.521249316911177,0.489120210697937,0.504967855055523,0.596983216486085
"ASV149",0.276642305627813,0.244493579386002,0.188640650923885,0.111439802245005,0.0652920238421197,0.0415342761614022,0.038679731820526,0.0444238030813965,0.256404731636896,0.244518062785928,0.229933110367893,0.211937503080487,0.0504434822817269,0.0836102924269978,0.0888369374634717,0.0934777990227321
