"RH_CT_Int_Ctrl1" "RH_CT_Int_Ctrl2" "RH_CT_Int_Ctrl3" "RH_CT_Int_Ctrl4" "RH_CT_Int_BM1" "RH_CT_Int_BM2" "RH_CT_Int_BM3" "RH_CT_Int_BM4" "RH_CT_Ext_Ctrl1" "RH_CT_Ext_Ctrl2" "RH_CT_Ext_Ctrl3" "RH_CT_Ext_Ctrl4" "RH_CT_Ext_BM1" "RH_CT_Ext_BM2" "RH_CT_Ext_BM3" "RH_CT_Ext_BM4"
"SH0879294.09FU" 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0
"SH0880726.09FU" 0 0 1 0 0 0 0 0 0 0 0 0 1 0 4 0
"SH0880805.09FU" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"SH0881442.09FU" 0 0 0 0 0 8 0 0 0 0 0 9 0 0 7 0
"SH0881482.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0
"SH0881501.09FU" 80 148 60 107 85 66 87 83 77 83 50 70 40 74 88 65
"SH0881584.09FU" 29 8 68 114 13 23 5 63 121 175 157 105 4 27 83 62
"SH0881631.09FU" 2 45 5 14 0 0 1 0 0 0 0 0 0 0 0 0
"SH0881646.09FU" 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0
"SH0881816.09FU" 1 1 3 8 1 1 13 3 10 18 37 9 2 1 3 2
"SH0881819.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"SH0881853.09FU" 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0
"SH0881877.09FU" 0 0 6 0 49 41 72 65 23 11 7 3 34 29 56 40
"SH0882085.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0
"SH0882333.09FU" 220 558 378 232 148 119 69 198 1011 390 437 783 116 163 72 190
"SH0882339.09FU" 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
"SH0882688.09FU" 6 21 57 22 40 1 1 4 2 1 12 0 1 1 0 0
"SH0883398.09FU" 0 4 0 0 0 0 4 0 1 0 0 0 1 0 0 0
"SH0884046.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 6
"SH0884215.09FU" 0 1 0 1 0 0 0 1 1 0 1 2 0 0 0 0
"SH0884516.09FU" 1 13 2 0 5 3 3 3 0 0 0 0 5 6 3 6
"SH0884798.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0
"SH0885124.09FU" 0 1 0 39 0 6 0 5 13 0 0 7 0 10 12 22
"SH0885285.09FU" 0 0 1 5 58 23 22 17 1 0 0 12 4 15 4 4
"SH0885316.09FU" 0 1 5 0 1 0 0 0 2 0 22 5 0 1 0 0
"SH0885372.09FU" 6 78 74 3 21 10 21 23 25 35 57 281 2 1 36 99
"SH0885388.09FU" 0 0 0 0 0 15 15 0 0 0 0 0 0 0 0 0
"SH0885402.09FU" 0 1 0 0 0 1 0 0 13 58 6 0 0 1 0 0
"SH0885412.09FU" 1 4 0 0 0 0 0 0 12 2 0 0 0 0 0 0
"SH0885414.09FU" 0 1 4 0 19 12 0 18 11 1 2 5 111 26 10 25
"SH0885420.09FU" 2 1 0 1 3 0 0 7 2 0 1 12 0 3 14 6
"SH0885427.09FU" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"SH0885442.09FU" 510 636 262 478 494 368 421 363 720 635 697 725 191 146 179 246
"SH0885471.09FU" 0 0 3 0 7 0 0 0 0 0 0 0 0 0 3 0
"SH0885515.09FU" 0 0 0 7 14 30 0 0 0 16 0 0 1 0 2 2
"SH0885516.09FU" 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0
"SH0885523.09FU" 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0
"SH0885543.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"SH0886099.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0
"SH0886369.09FU" 4 0 0 0 1 0 0 0 908 0 2 4 2 0 0 0
"SH0886550.09FU" 0 5 0 0 13 0 0 1 0 3 0 0 0 0 0 0
"SH0886553.09FU" 6 8 8 5 19 3 5 7 8 2 17 1 10 14 62 9
"SH0886909.09FU" 0 0 0 0 0 0 8 0 0 0 0 0 1 3 32 27
"SH0886984.09FU" 0 0 0 0 0 0 22 0 0 0 9 0 4 0 0 3
"SH0886991.09FU" 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
"SH0886998.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 19
"SH0887346.09FU" 4 10 0 24 10 12 19 1 25 2 23 46 13 2 25 8
"SH0887357.09FU" 0 0 0 0 0 0 31 0 0 4 0 0 0 0 7 3
"SH0887509.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"SH0888026.09FU" 1388 1199 1796 4546 1937 1184 4960 5527 5767 5176 14446 5318 1039 1183 2491 3330
"SH0888050.09FU" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"SH0888087.09FU" 0 0 17 0 0 0 0 17 9 52 13 99 2 0 0 0
"SH0888264.09FU" 0 0 0 0 0 0 0 0 8 1 1 0 0 0 0 0
"SH0888271.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0
"SH0888293.09FU" 0 0 0 0 0 3 0 0 0 0 0 0 2 0 0 3
"SH0888302.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0
"SH0888304.09FU" 0 0 16 9 0 0 0 0 0 0 3 2 0 3 0 0
"SH0888319.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0
"SH0888324.09FU" 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0
"SH0888333.09FU" 5 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"SH0888368.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
"SH0888539.09FU" 0 0 0 1 1 0 8 0 0 1 0 0 14 17 12 8
"SH0888561.09FU" 0 19 0 0 13 1 0 0 3 0 0 0 0 0 3 0
"SH0889076.09FU" 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SH0889096.09FU" 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0
"SH0889400.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"SH0889769.09FU" 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0
"SH0889770.09FU" 8 0 11 7 0 0 0 0 0 0 0 0 0 0 0 0
"SH0890856.09FU" 4 0 0 0 8 0 42 0 0 0 0 0 2 1 1 0
"SH0891550.09FU" 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
"SH0891959.09FU" 0 0 0 0 0 0 0 0 0 3 0 0 0 0 2 0
"SH0892035.09FU" 4 0 6 3 40 12 15 29 10 10 19 37 3 9 5 1
"SH0892038.09FU" 0 0 2 0 0 0 3 0 1 2 3 9 0 1 0 0
"SH0892274.09FU" 0 1 1 1 52 15 17 64 0 1 1 1 8 29 104 30
"SH0892287.09FU" 0 0 0 0 5 3 6 47 0 0 0 0 0 12 55 1
"SH0892325.09FU" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"SH0892412.09FU" 0 0 0 0 0 0 3 0 0 0 0 0 0 0 3 0
"SH0892425.09FU" 0 0 0 0 16 0 0 0 0 0 2 0 0 0 4 0
"SH0892447.09FU" 0 0 0 0 0 0 0 0 2 3 14 0 0 1 3 0
"SH0892486.09FU" 0 0 0 0 10 0 1 3 4 2 20 2 5 0 3 7
"SH0892501.09FU" 0 0 0 0 0 0 0 25 0 0 0 0 5 0 27 0
"SH0892514.09FU" 0 0 0 0 0 0 9 1 0 0 2 1 2 0 4 0
"SH0892657.09FU" 0 0 0 0 33 0 0 0 0 0 0 0 0 0 0 0
